id;titre;teritornature;statusacord;date_accord;signaturereacteru;signature_diircore;signature_chef_etab;article
1;Drives;NATIONAL;PROGRAMEE;2021-10-29;true;true;true;Yemeni brand Keyboard
2;Aruba;NATIONAL;FINI;2021-10-30;false;true;true;Money
3;Avon;NATIONAL;DEROULEE;2021-10-30;false;true;false;Salad
4;deliverables;INTERNATIONAL;FINI;2021-10-29;true;true;true;Engineer invoice Intelligent
5;Dinar best-of-breed synthesize;INTERNATIONAL;DEROULEE;2021-10-29;true;false;false;Chips strategize Buckinghamshire
6;Orchestrator Massachusetts parallelism;TRIPARTIE;DEROULEE;2021-10-30;true;true;true;silver channels
7;generate;NATIONAL;FINI;2021-10-30;true;true;true;harness Focused
8;Ergonomic Fantastic TCP;INTERNATIONAL;DEROULEE;2021-10-30;false;false;false;Account Officer
9;system-worthy;INTERNATIONAL;FINI;2021-10-29;true;false;false;Web
10;Rustic Markets Clothing;INTERNATIONAL;PROGRAMEE;2021-10-29;true;false;true;Ohio bypass
