id;type_accord;titre_demand;date_deman;forme_accord;signaturedircoor
1;AVENNANT;parsing customized Ngultrum;2021-10-30;Markets capacitor HTTP;false
2;AVENNANT;virtual;2021-10-30;services;false
3;ACCORD;intranet Computer;2021-10-29;Representative Unbranded facilitate;true
4;ACCORD;Chair Handmade;2021-10-30;input;false
5;ACCORD;Planner;2021-10-30;fuchsia;true
6;AVENNANT;open-source Garden Loan;2021-10-30;Extension;true
7;ACCORD;Checking copying Facilitator;2021-10-29;Ergonomic;true
8;AVENNANT;Supervisor non-volatile;2021-10-30;Investment Tasty installation;false
9;AVENNANT;program;2021-10-30;Assurance;false
10;AVENNANT;quantify interactive;2021-10-30;wireless;false
