id;contry;name_etab;domain;mention;representantname
1;Rubber Ethiopia Walk;Computers Movies;hacking;Savings;flexibility
2;Soap Gorgeous Jersey;initiatives THX;context-sensitive input orchestrate;AI fuchsia Accounts;conglomeration
3;invoice generating Guinea;Pants Intranet;green silver reintermediate;Response Movies green;front-end adapter impactful
4;architecture connect;driver Ergonomic;Franc;Cloned Nauru array;local override Borders
5;parsing;Uzbekistan cultivate;Account olive;hybrid Texas Wooden;Handcrafted Fantastic Dakota
6;gold;orange;Designer;Cotton;Fresh
7;relationships infrastructure Nebraska;olive Industrial haptic;Trinidad transmitting;architecture invoice;sky Danish challenge
8;web Orchestrator Handcrafted;Rupee;EXE initiatives Markets;Sports deposit compressing;backing THX
9;Interactions cross-platform;program;Maryland analyzer;green;structure Station Paradigm
10;overriding hack;Usability leverage SDD;Mississippi systems enterprise;program;deposit
