id;titre;date_etude;motive_dir_coor;signaturereacteru;signature_diircore;signature_chef_etab
1;Nicaragua;2021-10-29;payment Cambridgeshire Cheese;false;true;false
2;collaboration;2021-10-30;array circuit Leone;false;true;false
3;District;2021-10-29;Licensed interactive Soft;false;false;false
4;program;2021-10-29;Internal IB;false;false;false
5;Upgradable Soft SDD;2021-10-30;Rupiah card Shirt;true;true;true
6;Wooden Intelligent;2021-10-30;Liaison;true;true;true
7;Business-focused Islands Corporate;2021-10-29;compressing;false;false;true
8;framework;2021-10-30;transmitter USB;false;true;true
9;District;2021-10-29;Belize Savings IB;false;false;false
10;TCP Market;2021-10-30;Loan actuating;false;true;false
